pair,raw,k2p,k3p,jc,COI_divergence,Timetree_div,genome1_size,genome2_size,total_aligned_bases,alignment_percent
1,5.63E-05,4.06E-05,3.92E-05,5.63E-05,0.150104476,47.2545,2270550999,2346779227,1303925195,57.4277
2,1.28E-05,6.65E-06,6.14E-06,1.28E-05,0.017082407,3.38078,854447983,903564947,405184594,47.4206
3,0.000979735,0.000594595,0.000564831,0.000980375,,Unknown,1185463352,1241209685,848159166,71.5466
4,0,0,0,0,,,1926425113,1850740401,57682455,3.11672
5,0.001860037,0.001333373,0.001290861,0.001862347,0.538731858,3.8,1191882790,1228902913,902474481,75.7184
6,2.22E-05,1.49E-05,1.42E-05,2.22E-05,,Unknown,2374852541,2678442663,1427704725,60.1176
7,2.79E-05,1.89E-05,1.81E-05,2.79E-05,,13.745,2374852541,2772885358,1414757256,59.5724
8,3.37E-05,2.21E-05,2.11E-05,3.37E-05,,Unknown,2678442663,2772885358,1457845721,54.4289
9,6.38E-07,4.53E-07,4.37E-07,6.38E-07,0.055316619,4.3001,2673949103,2645145588,1290725207,48.796
10,1.02E-06,7.03E-07,6.75E-07,1.02E-06,0.020454777,0.4687,2673949103,2770669782,1367531547,51.1428
11,1.98E-06,1.35E-06,1.30E-06,1.98E-06,0.071367325,Unknown,2673949103,2972795249,1309478426,48.9717
12,4.75E-07,3.33E-07,3.21E-07,4.75E-07,0.059019579,4.3001,2645145588,2770669782,1403827944,53.0719
13,6.72E-07,4.87E-07,4.71E-07,6.72E-07,0.064750923,Unknown,2645145588,2972795249,1394848891,52.7324
14,6.49E-06,4.39E-06,4.21E-06,6.49E-06,0.072028443,Unknown,2770669782,2972795249,1432934406,51.718
15,2.77E-06,1.80E-06,1.72E-06,2.77E-06,0.462691632,1.2659,2622444281,2898492518,1448571610,55.2375
16,3.34E-07,1.68E-07,1.52E-07,3.34E-07,,,4545465442,5044744194,591776696,13.0191
17,0.000119307,7.99E-05,7.68E-05,0.000119317,0.070999964,4.3517,1992646609,2169346739,1429975433,71.7626
18,4.75E-05,2.72E-05,2.60E-05,4.75E-05,0.034895894,0.82006,1992646609,2087077296,1422427029,71.3838
19,0.000211307,0.000136102,0.000130991,0.000211336,0.094799503,4.3517,2169346739,2087077296,1416798028,67.8843
20,2.83E-06,1.73E-06,1.68E-06,2.83E-06,0.452413811,Unknown,2349862946,2481983352,1536245515,65.376
21,1.25E-06,6.02E-07,5.47E-07,1.25E-06,0.001455075,4.245365,1820618472,1583334954,728989758,46.0414
22,1.89E-06,1.03E-06,9.51E-07,1.89E-06,0.063024067,14.27739,1820618472,1684296438,410822836,24.3914
23,6.42E-06,3.38E-06,3.09E-06,6.42E-06,0.064584908,14.27739,1583334954,1684296438,400782046,25.3125
24,3.02E-06,1.95E-06,1.87E-06,3.02E-06,0.031055732,3.657415,2526613007,2886603524,1485330787,58.7874
25,0.000461724,0.000293552,0.000280259,0.000461866,,3.27791,1091312783,120909663,94462984,78.1269
26,0.001446336,0.000968771,0.000929277,0.001447732,,6.32384,1091312783,1112734094,816472733,74.8156
27,0.005841569,0.003812054,0.00363439,0.005864437,0.093329246,6.32384,1091312783,1057484666,1012146961,95.7127
28,0.001406559,0.000938779,0.000899376,0.00140788,0.105427669,28.932735,1091312783,1151594481,814954112,74.6765
29,0.001718722,0.001142293,0.001095095,0.001720695,,6.32384,120909663,1112734094,95263425,78.7889
30,0.001621768,0.001077737,0.001032662,0.001623523,,6.32384,120909663,1057484666,88302752,73.032
31,0.001644341,0.001088016,0.001041808,0.001646146,,28.932735,120909663,1151594481,95633240,79.0948
32,0.001774468,0.001211805,0.001166056,0.00177657,,6.31563,1112734094,1057484666,828916866,78.3857
33,0.002366075,0.001610317,0.001547901,0.002369815,,28.932735,1112734094,1151594481,841580844,75.6318
34,0.002081223,0.001415571,0.001359774,0.002084116,0.089459757,28.932735,1057484666,1151594481,822331427,77.763
35,0.003372487,0.002362833,0.002282609,0.003380092,0.082154666,Unknown,1134169903,1124217020,848335156,75.4601
36,0.002900233,0.001367368,0.001232304,0.002905855,0.018752198,3.14462,1035167975,1086882241,787812643,76.1048
37,0,0,0,0,,,1679186873,1381485597,87485456,6.33271
38,8.63E-07,4.76E-07,4.45E-07,8.63E-07,0.179807536,9.27055,2236368823,2844766008,940179287,42.0404
39,1.97E-05,1.26E-05,1.20E-05,1.97E-05,0.428327662,Unknown,1087399367,1030460988,539180028,52.3242
40,1.72E-05,1.12E-05,1.07E-05,1.72E-05,0.150215725,10.49432,1087399367,1046995804,524110714,50.0585
