pair,species_index1,species_index2
1,2,1
2,3,4
3,6,5
4,NA,NA
5,7,8
6,10,11
7,10,9
8,11,9
9,12,14
10,12,15
11,12,13
12,14,15
13,14,13
14,15,13
15,16,17
16,NA,NA
17,18,19
18,18,20
19,19,20
20,21,22
21,23,25
22,23,24
23,25,24
24,26,27
25,28,29
26,28,32
27,28,31
28,28,30
29,29,32
30,29,31
31,29,30
32,32,31
33,32,30
34,31,30
35,34,33
36,36,35
37,NA,NA
38,37,38
39,40,41
40,40,39
41,41,39
42,44,43
43,44,42
44,44,45
45,43,42
46,43,45
47,42,45
48,47,46
49,52,50
50,52,49
51,52,51
52,52,48
53,50,49
54,50,51
55,50,48
56,49,51
57,49,48
58,51,48
59,53,54
60,53,55
61,54,55
62,56,57
63,58,59
64,60,61
65,62,63
66,65,64
67,66,67
68,69,68
69,70,71
70,72,73
71,76,75
72,76,74
73,76,77
74,75,74
75,75,77
76,74,77
77,79,78
78,80,81
79,83,82
80,83,84
81,82,84
82,86,85
83,88,87
84,90,89
85,90,91
86,89,91
87,93,92
88,95,94
89,95,96
90,94,96
91,97,100
92,97,99
93,97,98
94,100,99
95,100,98
96,99,98
97,104,103
98,104,101
99,104,105
100,104,102
101,103,101
102,103,105
103,103,102
104,101,105
105,101,102
106,105,102
107,NA,NA
108,106,107
109,108,109
110,108,NA
111,108,110
112,108,NA
113,108,NA
114,109,NA
115,109,110
116,109,NA
117,109,NA
118,NA,110
119,NA,NA
120,NA,NA
121,110,NA
122,110,NA
123,NA,NA
124,NA,NA
125,NA,NA
126,NA,NA
127,NA,NA
128,NA,NA
129,NA,NA
130,NA,NA
131,NA,NA
132,NA,NA
133,NA,NA
134,NA,NA
135,NA,NA
136,NA,NA
137,NA,NA
138,NA,113
139,NA,111
140,NA,112
141,113,111
142,113,112
143,111,112
144,NA,NA
145,NA,NA
146,NA,NA
147,114,115
148,116,117
149,118,NA
150,118,119
151,118,120
152,NA,119
153,NA,120
154,119,120
155,122,121
156,123,124
157,127,125
158,127,126
159,125,126
160,128,129
161,131,130
162,132,133
163,135,134
164,138,137
165,138,136
166,137,136
167,139,140
168,142,143
169,142,141
170,143,141
171,144,146
172,144,145
173,146,145
174,147,148
175,NA,NA
176,150,151
177,150,149
178,151,149
179,152,153
180,154,155
181,157,156
182,159,158
183,160,161
184,164,162
185,164,163
186,162,163
187,166,165
188,168,167
189,NA,NA
190,169,171
191,169,170
192,171,170
