pair,raw,k2p,k3p,jc
1,0.014446851,0.009546879,0.009100527,0.014587805
2,0.005013169,0.002444764,0.002232065,0.005029999
3,0.00248472,0.001432206,0.001345347,0.002488845
4,1.45E-05,8.68E-06,8.15E-06,1.45E-05
5,0.001899602,0.001349156,0.001304515,0.001902012
6,0.009560475,0.006131335,0.005834147,0.009621932
7,0.010533587,0.006784707,0.006455129,0.010608257
8,0.008053436,0.005175849,0.004918685,0.008096987
9,0.002646274,0.001723126,0.001646136,0.002650954
10,0.002331771,0.00149616,0.001424763,0.002335403
11,0.00625413,0.004039848,0.003855158,0.006280352
12,0.003600657,0.002391759,0.002287905,0.003609328
13,0.003120149,0.002077969,0.00198828,0.003126657
14,0.007310683,0.00480313,0.004588094,0.007346547
15,0.004741712,0.003074813,0.002932188,0.004756765
17,0.004373841,0.002726265,0.002597765,0.004386645
18,0.001566682,0.000881168,0.0008346,0.001568321
19,0.004456125,0.002654538,0.002531128,0.004469415
20,0.001953783,0.001064342,0.001008811,0.001956332
21,0.006644489,0.002860014,0.002529523,0.006674097
22,0.001902579,0.000833819,0.000737245,0.001904996
23,0.001977877,0.000874244,0.000774192,0.00198049
24,0.003429046,0.002229839,0.00213291,0.003436909
25,0.002544401,0.001549106,0.00146556,0.002548727
26,0.006445303,0.004191148,0.003996218,0.006473157
27,0.006109422,0.003964182,0.003776207,0.006134441
28,0.006119385,0.003963938,0.003774753,0.006144486
29,0.006603713,0.004274318,0.004076248,0.006632957
30,0.00597187,0.003871297,0.003689604,0.005995773
31,0.005514543,0.003557602,0.003388608,0.005534916
32,0.006383588,0.004269555,0.004089414,0.00641091
33,0.007575623,0.005041786,0.004823983,0.007614142
34,0.007182763,0.004783602,0.00457395,0.007217378
35,0.011186394,0.007435124,0.007125979,0.011270657
36,0.004143401,0.001930496,0.001734817,0.004154889
37,5.61E-05,2.83E-05,2.58E-05,5.61E-05
38,0.010496213,0.006387142,0.006035009,0.010570352
39,0.007833876,0.00482975,0.004561447,0.007875076
40,0.010317574,0.006492801,0.006149314,0.0103892
42,0.001591981,0.00096845,0.000915103,0.001593673
43,0.009818086,0.006289505,0.005981053,0.009882916
44,0.009127458,0.00589876,0.005611883,0.009183453
45,0.012095113,0.007771578,0.007395534,0.012193702
46,0.010849999,0.007056203,0.006719481,0.010929246
47,0.004556801,0.002826442,0.002686088,0.0045707
49,0.015313535,0.009888219,0.009415048,0.015472033
50,0.001187216,0.000662089,0.000628319,0.001188157
51,0.004123578,0.002555413,0.002433819,0.004134955
52,0.002154706,0.001280166,0.001216867,0.002157807
55,0.013385307,0.008673016,0.008258647,0.013506192
56,0.003679746,0.002318335,0.002208197,0.003688803
57,0.00194327,0.001186096,0.001126789,0.001945792
59,0.006690171,0.003056271,0.002734966,0.006720189
62,0.017062149,0.011046396,0.010518926,0.017259222
64,0.003216762,0.001605796,0.001459223,0.00322368
66,0.01812446,0.009852428,0.009096719,0.018347051
67,0.012354622,0.006227762,0.005693564,0.012457511
69,0.014742978,0.00999086,0.009566642,0.014889809
70,0.007366423,0.004498343,0.004286974,0.007402838
72,0.006125483,0.003358779,0.003172104,0.006150635
73,0.006212605,0.003417475,0.003226922,0.006238479
74,0.004744718,0.002965227,0.002820764,0.00475979
75,0.005932378,0.003723394,0.003540258,0.005955965
76,0.00592465,0.003750418,0.00356785,0.005948175
77,0.006528157,0.00437194,0.004194051,0.006556734
78,0.022015918,0.014353646,0.013667943,0.022345518
79,0.006212954,0.003659463,0.003449078,0.00623883
80,0.006598265,0.003872835,0.003647936,0.006627461
81,0.007902849,0.004609634,0.004335933,0.007944781
83,0.006078602,0.003035305,0.002765874,0.006103368
84,0.010103887,0.006360644,0.006032174,0.010172563
85,0.008337449,0.005236637,0.004965334,0.008384137
87,0.003031461,0.001941246,0.001859819,0.003037604
88,0.014364473,0.008778471,0.008281489,0.014503814
89,0.007275724,0.004464156,0.00421228,0.007311245
91,0.015649902,0.009566326,0.009041888,0.015815489
92,0.015878374,0.009744851,0.009215065,0.016048866
93,0.016342648,0.010068145,0.009525103,0.016523332
95,0.006515919,0.003931851,0.003722806,0.006544389
96,0.005987006,0.003660205,0.00347108,0.00601103
97,0.005267334,0.003209343,0.003032254,0.005285918
98,0.00593874,0.003635502,0.003439779,0.005962377
99,0.01370922,0.008420908,0.007962918,0.013836063
100,0.012932424,0.007874425,0.007435904,0.013045221
101,0.00372354,0.002287067,0.002163289,0.003732814
103,0.007021241,0.004302012,0.004066815,0.007054313
104,0.007903836,0.004893324,0.00463284,0.007945778
105,0.007375126,0.004522547,0.004275551,0.007411627
106,0.018648989,0.011531067,0.010911441,0.018884762
109,0.00318972,0.001449213,0.001293742,0.003196522
110,0.003018553,0.001390403,0.001243148,0.003024643
112,0.001735183,0.00079547,0.000711097,0.001737194
113,0.00222971,0.001015324,0.000906027,0.002233031
114,0.002816,0.001302717,0.001167258,0.0028213
115,0.003104588,0.001447638,0.001300349,0.003111031
116,0.002039302,0.000933831,0.000836061,0.00204208
117,0.002681049,0.001210536,0.001080163,0.002685852
118,0.002972422,0.001399525,0.001257956,0.002978328
120,0.001922784,0.000889096,0.000795848,0.001925253
122,0.002171376,0.001009774,0.000905697,0.002174525
123,0.003038773,0.001392391,0.001245755,0.003044945
124,0.006060809,0.003431386,0.003212124,0.006085431
126,0.003612843,0.002236786,0.002121537,0.003621573
127,0.008211895,0.005272675,0.005029813,0.008257183
128,0.006392897,0.004106092,0.003919794,0.006420299
129,0.007828247,0.005012498,0.004780627,0.007869388
130,0.006343477,0.004097217,0.003911785,0.006370455
131,0.007770533,0.005011825,0.004783328,0.007811067
132,0.004961668,0.003136536,0.002991828,0.004978153
133,0.005045417,0.003245441,0.003099126,0.005062464
134,0.00788229,0.00507236,0.00484021,0.007924003
135,0.006347268,0.004114156,0.003929177,0.006374279
136,0.005129455,0.003292244,0.003143126,0.005147076
137,0.003455724,0.001696265,0.001538448,0.00346371
138,0.014633334,0.009289255,0.00882874,0.014777975
139,0.016625034,0.010558002,0.010017492,0.016812065
140,0.016063374,0.010241107,0.009723664,0.016237892
141,0.021143032,0.01342399,0.012739645,0.021446773
142,0.019043734,0.012131918,0.011521839,0.019289682
143,0.014364255,0.009398849,0.008963292,0.014503591
144,0.002440409,0.001521553,0.001444981,0.002444388
145,0.012633088,0.008174459,0.007777922,0.012740695
146,0.011064324,0.007152682,0.006805689,0.011146749
147,0.034602419,0.02357853,0.022591022,0.035426071
148,0.005793072,0.003498618,0.003293349,0.005815561
150,0.005136701,0.002798496,0.002596628,0.005154372
151,0.005309683,0.002889482,0.002681421,0.005328568
154,0.006754132,0.003713771,0.003449821,0.006784729
155,0.002193295,0.001412395,0.001347118,0.002196508
156,0.006599733,0.004055754,0.003850813,0.006628942
157,0.004958713,0.003285077,0.003141315,0.004975178
158,0.002824958,0.00182224,0.001740706,0.002830292
159,0.011422703,0.007578595,0.007247165,0.011510582
160,0.003378096,0.002050621,0.001941626,0.003385727
162,0.003369849,0.001767664,0.001676367,0.003377442
163,0.004996568,0.002379899,0.002143745,0.005013286
164,0.003496869,0.001505044,0.00134331,0.003505047
165,0.003260995,0.0014438,0.00129057,0.003268105
167,0.007294998,0.003627827,0.00329827,0.007330708
169,0.017069025,0.009238677,0.008533293,0.017266257
170,0.003357843,0.001660705,0.001518723,0.003365382
171,0.000286637,0.000133364,0.000119705,0.000286692
172,0.000230318,0.000109282,9.84E-05,0.000230354
173,0.000188662,8.83E-05,7.93E-05,0.000188686
174,0.009879074,0.004758734,0.004298726,0.009944715
175,0.000182592,0.00011106,0.000104884,0.000182614
176,0.009200986,0.004755176,0.004345562,0.00925789
177,0.019722085,0.010224561,0.009348123,0.019986029
178,0.015321398,0.007626187,0.006919463,0.015480059
179,0.00247486,0.001187563,0.001071158,0.002478952
180,0.007988189,0.004366996,0.004057342,0.008031034
182,0.010464498,0.006084607,0.005706421,0.010538188
183,0.000988524,0.000433483,0.000382711,0.000989176
184,0.005646517,0.003566617,0.003403658,0.005667879
185,0.003414296,0.002106004,0.002006652,0.003422091
186,0.005447565,0.00346622,0.003309766,0.005467445
187,0.011286416,0.006918728,0.006542129,0.0113722
188,0.006773712,0.004083035,0.003867335,0.006804487
190,0.013387268,0.00745015,0.006928388,0.013508189
192,0.015620707,0.008606628,0.007990561,0.015785672
