Genus,Species1,Species2,TTID1,TTID2,DIVERGENCE
Alligator,sinensis,mississippiensis,38654.0,8496.0,47.2545
Alosa,alosa,sapidissima,278164.0,34773.0,3.38078
Ammospiza,nelsoni,caudacuta,2857394.0,2857398.0,Unknown
Apteryx,mantelli,rowi,2696672.0,308060.0,3.8
Bos,indicus,mutus,9915.0,72004.0,4.3001
Bos,indicus,taurus,9915.0,9913.0,0.4687
Bos,indicus,javanicus,9915.0,9906.0,Unknown
Bos,mutus,taurus,72004.0,9913.0,4.3001
Bos,mutus,javanicus,72004.0,9906.0,Unknown
Bos,taurus,javanicus,9913.0,9906.0,Unknown
Bubalus,bubalis,kerabau,89462.0,3119969.0,1.2659
Camelus,bactrianus,dromedarius,9837.0,9838.0,4.3517
Camelus,bactrianus,ferus,9837.0,419612.0,0.82006
Camelus,dromedarius,ferus,9838.0,419612.0,4.3517
Canis,dingo,familiaris,286419.0,9615.0,Unknown
Carassius,auratus,gibelio,7957.0,101364.0,4.245365
Carassius,auratus,carassius,7957.0,217509.0,14.27739
Carassius,gibelio,carassius,101364.0,217509.0,14.27739
Cervus,canadensis,elaphus,1574408.0,9860.0,3.657415
Corvus,brachyrhynchos,cornix,85066.0,181096.0,3.27791
Corvus,brachyrhynchos,moneduloides,85066.0,1196302.0,6.32384
Corvus,brachyrhynchos,kubaryi,85066.0,68294.0,6.32384
Corvus,brachyrhynchos,hawaiiensis,85066.0,134902.0,28.932735
Corvus,cornix,moneduloides,181096.0,1196302.0,6.32384
Corvus,cornix,kubaryi,181096.0,68294.0,6.32384
Corvus,cornix,hawaiiensis,181096.0,134902.0,28.932735
Corvus,moneduloides,kubaryi,1196302.0,68294.0,6.31563
Corvus,moneduloides,hawaiiensis,1196302.0,134902.0,28.932735
Corvus,kubaryi,hawaiiensis,68294.0,134902.0,28.932735
Cygnus,olor,atratus,8869.0,8868.0,Unknown
Cyprinodon,variegatus,tularosa,28743.0,77115.0,3.14462
Dipodomys,ordii,spectabilis,10020.0,105255.0,9.27055
Epinephelus,lanceolatus,moara,310571.0,300413.0,Unknown
Epinephelus,lanceolatus,fuscoguttatus,310571.0,293821.0,10.49432
Epinephelus,moara,fuscoguttatus,300413.0,293821.0,Unknown
Equus,przewalskii,caballus,9798.0,9796.0,2.59
Equus,przewalskii,asinus,9798.0,9793.0,11.1
Equus,przewalskii,quagga,9798.0,89248.0,11.1
Equus,caballus,asinus,9796.0,9793.0,11.1
Equus,caballus,quagga,9796.0,89248.0,11.1
Equus,asinus,quagga,9793.0,89248.0,2.78
Etheostoma,spectabile,cragini,54343.0,417921.0,28.05088
Falco,rusticolus,naumanni,120794.0,148594.0,6.82
Falco,rusticolus,cherrug,120794.0,345164.0,0.28
Falco,rusticolus,peregrinus,120794.0,8954.0,2.1394
Falco,rusticolus,biarmicus,120794.0,345155.0,1.2
Falco,naumanni,cherrug,148594.0,345164.0,6.82
Falco,naumanni,peregrinus,148594.0,8954.0,6.82
Falco,naumanni,biarmicus,148594.0,345155.0,6.82
Falco,cherrug,peregrinus,345164.0,8954.0,2.1394
Falco,cherrug,biarmicus,345164.0,345155.0,1.2
Falco,peregrinus,biarmicus,8954.0,345155.0,2.1394
Gadus,chalcogrammus,macrocephalus,1042646.0,80720.0,2.54352
Gadus,chalcogrammus,morhua,1042646.0,8049.0,5.02765
Gadus,macrocephalus,morhua,80720.0,8049.0,2.54352
Gopherus,evgoodei,flavomarginatus,1825980.0,286002.0,Unknown
Haliaeetus,albicilla,leucocephalus,8969.0,52644.0,5.9922
Hippocampus,comes,zosterae,109280.0,109293.0,14.86339
Hippoglossus,hippoglossus,stenolepis,8267.0,195615.0,4.4057
Ictalurus,punctatus,furcatus,7998.0,66913.0,21.998135
Labrus,bergylta,mixtus,56723.0,508554.0,13.5413
Lagenorhynchus,obliquidens,albirostris,3371155.0,27610.0,Unknown
Lagopus,leucura,muta,30410.0,64668.0,6.62685
Lynx,canadensis,rufus,61383.0,61384.0,6.4543
Macaca,nemestrina,mulatta,9545.0,9544.0,4.49722
Macaca,nemestrina,fascicularis,9545.0,9541.0,4.49722
Macaca,nemestrina,thibetana,9545.0,54602.0,4.49722
Macaca,mulatta,fascicularis,9544.0,9541.0,2.91591
Macaca,mulatta,thibetana,9544.0,54602.0,4.208425
Macaca,fascicularis,thibetana,9541.0,54602.0,4.208425
Manacus,vitellinus,candei,328815.0,415023.0,1.15196
Manis,javanica,pentadactyla,9974.0,143292.0,16.4
Marmota,marmota,flaviventris,9993.0,93162.0,5.15553
Marmota,marmota,monax,9993.0,9995.0,4.04
Marmota,flaviventris,monax,93162.0,9995.0,5.15553
Mauremys,reevesii,mutica,260615.0,74926.0,25.285
Micropterus,salmoides,dolomieu,27706.0,147949.0,9.13
Microtus,ochrogaster,fortis,79684.0,100897.0,7.9514
Microtus,ochrogaster,oregoni,79684.0,111838.0,9
Microtus,fortis,oregoni,100897.0,111838.0,7.9514
Mirounga,leonina,angustirostris,9715.0,9716.0,2.27708
Mus,musculus,caroli,10090.0,10089.0,4.457365
Mus,musculus,pahari,10090.0,10093.0,6.42339
Mus,caroli,pahari,10089.0,10093.0,6.42339
Mustela,erminea,furo,36723.0,9669.0,Unknown
